"scenario","year","file","protection_unique"
"BAU","2020","BAU/s1/2020/Forestry.txt.gz","unprotected"
"BAU","2030","BAU/s1/2030/Forestry.txt.gz","unprotected"
"BAU","2050","BAU/s1/2050/Forestry.txt.gz","unprotected"
"BAU","2070","BAU/s1/2070/Forestry.txt.gz","unprotected"
"BAU","2100","BAU/s1/2100/Forestry.txt.gz","unprotected"
"NaC_NaC","2020","NaC_NaC/s1/2020/Forestry.txt.gz","unprotected"
"NaC_NaC","2030","NaC_NaC/s1/2030/Forestry.txt.gz","protected|unprotected"
"NaC_NaC","2050","NaC_NaC/s1/2050/Forestry.txt.gz","protected|unprotected"
"NaC_NaC","2070","NaC_NaC/s1/2070/Forestry.txt.gz","protected|unprotected"
"NaC_NaC","2100","NaC_NaC/s1/2100/Forestry.txt.gz","protected|unprotected"
"NfN_NfN","2020","NfN_NfN/s1/2020/Forestry.txt.gz","unprotected"
"NfN_NfN","2030","NfN_NfN/s1/2030/Forestry.txt.gz","unprotected"
"NfN_NfN","2050","NfN_NfN/s1/2050/Forestry.txt.gz","unprotected"
"NfN_NfN","2070","NfN_NfN/s1/2070/Forestry.txt.gz","unprotected"
"NfN_NfN","2100","NfN_NfN/s1/2100/Forestry.txt.gz","unprotected"
"NfS_NfS","2020","NfS_NfS/s1/2020/Forestry.txt.gz","unprotected"
"NfS_NfS","2030","NfS_NfS/s1/2030/Forestry.txt.gz","protected|unprotected"
"NfS_NfS","2050","NfS_NfS/s1/2050/Forestry.txt.gz","protected|unprotected"
"NfS_NfS","2070","NfS_NfS/s1/2070/Forestry.txt.gz","protected|unprotected"
"NfS_NfS","2100","NfS_NfS/s1/2100/Forestry.txt.gz","protected|unprotected"
"NfNl_NfNl","2020","NfNl_NfNl/s1/2020/Forestry.txt.gz","unprotected"
"NfNl_NfNl","2030","NfNl_NfNl/s1/2030/Forestry.txt.gz","unprotected"
"NfNl_NfNl","2050","NfNl_NfNl/s1/2050/Forestry.txt.gz","unprotected"
"NfNl_NfNl","2070","NfNl_NfNl/s1/2070/Forestry.txt.gz","unprotected"
"NfNl_NfNl","2100","NfNl_NfNl/s1/2100/Forestry.txt.gz","unprotected"
